머내과학공원,Meonae Science Park,マネ科学公園
모담공원,Modam Park,モダム公園
모란공원,Moran Park,牡丹公園
모란생태공원,Moran Ecological Park,牡丹生態公園
모산근린공원(2024년예정),Mosan Neighborhood Park (scheduled for 2024),茅山近隣公園(2024年予定)
목감공원,Mokgam Park,牧甘公園
목감소공원,Mokgamso Park,牧甘沼公園
목실공원,Moksil Park,木室公園
목화공원,Cotton Park,綿花公園
못골공원,Motgol Park,モッコル公園
묘지공원,Cemetery Park,墓地公園
무궁화공원,Mugunghwa Park,無窮花公園
무원공원,Muwon Park,茂原公園
무잡모퉁이공원,Mujab Corner Park,無雑角公園
무장들공원,Armed Field Park,武将野公園
무지개문화공원,Rainbow Culture Park,虹の文化公園
문예문화공원,Literary and Cultural Park,文芸文化公園
문헌근린공원,Literature Neighborhood Park,文献近隣公園
물결공원,Wave Park,波の公園
물다미공원,Water Dami Park,ムルダミ公園
물레방아쉼터,a waterwheel shelter,水車小屋
물빛공원,Mulbit Park,ムルビッ公園
물안개공원,Water fog park,水霧公園
물푸레공원,Mulpure Park,水車公園
미리내공원,Mirinae Park,ミリネ公園
미사강변성당,Misa Riverside Cathedral,ミサ江辺聖堂
미사숲공원,Misa Forest Park,ミサの森公園
미사역사일가공원,a misa station worker,微砂歴史加工員
미사호수공원,Misa Lake Park,ミサ湖公園
미양공원,Miyang Park,美陽公園
민백공원,Minbaek Park,ミンベク公園
바람근린공원,Wind Neighborhood Park,風近隣公園
바람소리공원,Wind Sound Park,風の音公園
반달중앙공원,Half Moon Central Park,半月中央公園
반석산노인공원,Banseoksan Senior Park,盤石山老人公園
반월공원,Banwol Park,半月公園
밤가시공원,Night thorn park,栗樫公園
밤나무공원,Chestnut Tree Park,栗の木公園
밤밭청개구리공원,Night Field Green Frog Park,栗原青蛙公園
방아고개공원,Bangagogae Park,バンア峠公園
방아공원,Banga Park,バンア公園
방죽골공원,Bangjukgol Park,防竹谷公園
배곧생명공원,Baegot Life Park,ペゴッ生命公園
배곧성당,Baegot Cathedral,ペゴッ聖堂
배수지공원,Baesuji Park,配水池公園
백동단지공원,Baekdong Complex Park,白洞団地公園
벽산블루밍아파트공원,Byeoksan Blooming Apartment Park,碧山ブルーミングアパート公園
벽제공원,Byeokje Park,碧蹄公園
별내중앙공원,Byeolnae Central Park,ビョルネ中央公園
별님공원,Byulnim Park,ビョルニム公園
별다올근린공원,Byeoldaol Neighborhood Park,ビョルダオル近隣公園
별빛광장,Starlight Square,星明かり広場
병점근린공원,Byeongjeom Neighborhood Park,ビョンジョム近隣公園
보담공원,Bodam Park,ポダム公園
복사골공원,Boksagol Park,ポクサゴル公園
복우물공원,Bok Well Park,福井戸公園
복지공원,a welfare park,福祉公園
본오공원,Bono Park,本五公園
봇들공원,Botdeul Park,ボットゥル公園
부곡근린공원,Bugok Neighborhood Park,釜谷近隣公園
부락산문화공원,Buraksan Cultural Park,富楽山文化公園
부락산분수공원,Buraksan Fountain Park,富楽山噴水公園
부악공원,Buak Park,富岳公園
부용공원,Buyong Park,芙蓉公園
북새말공원,Buksaemal Park,北セマル公園
비둘기근린공원,Pigeon Neighborhood Park,ハト近隣公園
비룡성당,Biryong Cathedral,飛龍聖堂
비발디공원,Vivaldi Park,ビバルディ公園
빛나래공원,Bitna Rae Park,ビッナレ公園
사기막골근린공원,Sagimakgol Neighborhood Park,サギマクゴル近隣公園
사도들의모후수도회,the Apostles' Mother's Order,使徒たちの母后修道会
사동공원,Sadong Park,沙洞公園
사우공원,Sau Park,サウ公園
사우마을숲공원,Sau Village Forest Park,サウマウル森公園
산내공원,Sannae Park,山内公園
산마루공원,Sanmaru Park,サンマル公園
산바람공원,Sanbaram Park,山風公園
산새들공원,Mountain Bird Park,サンセドゥル公園
산성동조각공원,Sanseong Dong Sculpture Park,山城洞彫刻公園
산수유공원,Sansuyu Park,サンシュユ公園
산울림공원,Sanwoolim Park,サンウルリム公園
산이슬공원,Sanseul Park,サンイスル公園
살구골공원,Apricot Valley Park,アンズゴル公園
살구꽃공원,Apricot Flower Park,あんず花公園
살구나무공원,Apricot Tree Park,あんずの木公園
살박근린공원,Salbak Neighborhood Park,サルバク近隣公園
삼봉근린공원,Sambong Neighborhood Park,三峰近隣公園
삼성경로당공원,Samsung Senior Citizens Hall Park,三成敬老堂公園
삼정동성당,Samjeong-dong Cathedral,三井洞聖堂
삼포공원,Sampo Park,三浦公園
삼호공원,Samho Park,三湖公園
삼환공원,Samhwan Park,三環公園
상갈리소공원,Sangalliso Park,サンガリソ公園
상록근린공원,Evergreen Neighborhood Park,常緑近隣公園
상봉암동 쌈지공원,Sangbongam-dong Ssamji Park,上鳳岩洞サムジ公園
상신성당,Sangsin Cathedral,上神聖堂
상자포리문화소통공원,Boxpo-ri Cultural Communication Park,サンジャポリ文化疎通公園
상하공원,Sangha Park,上下公園
상현공원,Sanghyeon Park,サンヒョン公園
상현레스피아,Sanghyun Respia,サンヒョンレスピア
상현소공원,Sanghyeon Small Park,上弦小公園
새꽃공원,Bird Flower Park,鳥の花公園
새물공원,Bird Water Park,セムル公園
새암공원,Saeam Park,セアム公園
새터근린공원,Saeteo Neighborhood Park,セト近隣公園
새한공원,Saehan Park,セハン公園
새희망공원,New Hope Park,セヒマン公園
샘물공원,Spring Water Park,泉水公園
샘재공원,Samjae Park,セムジェ公園
샛말공원,Saemal Park,セッマル公園
샛별공원,New Star Park,セッピョル公園
샛터공원,Saeteo Park,サット公園
생매공원,Saengmae Park,センメ公園
생연근린공원,Saengyeon Neighborhood Park,生淵近隣公園
생태습지공원,Ecological Wetland Park,生態湿地公園
서삼릉공원,West Samneung Park,西三陵公園
서오릉공원,Seo Oreung Park,西五陵公園
서정나루공원,Seojeongnaru Park,ソジョンナル公園
서정문화공원,Seojeong Cultural Park,ソジョン文化公園
서천레스피아,Western Respia,舒川レスピア
서해공원,West Sea Park,西海公園
석교공원,Seokgyo Park,石橋公園
석수골공원,Seoksugol Park,ソクスゴル公園
석수공원,Seoksu Park,石水公園
석수삼막소공원,Seoksu Sammak Small Park,石水三幕小公園
석수초교공원,Seoksu Elementary School Park,石水小学校公園
석우리천공원,Seokwicheon Park,石隅川公園
선돌근린공원,Seondol Neighborhood Park,ソンドル近隣公園
선승공원,Seonseung Park,禅僧公園
선주리들근린공원,Seonjurideul Neighborhood Park,仙州里ドゥル近隣公園
설봉국제조각공원,Seolbong International Sculpture Park,雪峯国際彫刻公園
설촌공원,Seolchon Park,雪村公園
섬말소공원,Summalso Park,島末沼公園
성남동나들이어린이공원,Seongnam Dong Nadeul Children's,城南洞おでかけ子供公園
성동공원,Seongdong Park,ソンドン公園
성라공원,Seongla Park,ソンラ公園
성라근린공원,Seongra Neighborhood Park,ソンラ近隣公園
성저공원,Seongjeo Park,城底公園
세우리교,Seuryoism,セウリ橋
소나무공원,Pine Tree Park,松の公園
소담공원,Sodam Park,ソダム公園
소리내음공원,Sound Sound Park,音の香り公園
소목개마을공원,Somokgae Village Park,ソモクゲマウル公園
소사벌성당,Sosabal Cathedral,焼死伐聖堂
소사본동성당,Sosabondong Cathedral,素砂本洞聖堂
소실봉공원,Gasangbong Park,焼失峰公園
소하공원,Soha Park,小河公園
손바닥 소공원,Palm Small Park,手のひら小公園
손바닥공원,Palm Park,手のひら公園
손바닥공원놀이터,Palm Park Playground,手のひら公園遊び場
솔내공원,Solnae Park,ソルネ公園
솔내음공원,Solnaeum Park,松の香り公園
솔대공원,Soldae Park,ソルデ公園
솔모루공원,Solmoru Park,ソルモル公園
솔바람공원,Solbaram Park,松風公園
솔밭산공원,Solbatsan Park,松畑山公園
솔빛공원,Solbit Park,松の光公園
솔향기공원,Solhyanggi Park,松の香り公園
솟대공원,Sotdae Park,ソッデ公園
송강공릉천공원,Songgang Gongneungcheon Park,松江孔陵川公園
송곡공원,Songgok Park,松谷公園
송내동 쌈지공원,Ssamji Park in Songnae-dong,松内洞サムジ公園
송담근린공원,Songdam Neighborhood Park,松潭近隣公園
송동공원,Songdong Park,松洞公園
송림공원,Songlim Park,松林公園
송방공원,Songbang Park,松方公園
송북동신흥마을쌈지공원,Sinheung Village Ssamji Park in Songbuk-dong,松北洞新興村サムジ公園
송산3.1기념공원,Songsan 3.1 Memorial Park,松山3.1記念公園
송산사지근린공원,Songsan Temple Site Neighborhood Park,松山寺址近隣公園
송서성당,Songseo Cathedral,松西聖堂
송전레스피아,Transmission Respia,松田レスピア
송정공원,Songjeong Park,松亭公園
송포공원,Songpo Park,松浦公園
송현공원,Songhyeon Park,松峴公園
송화공원,Songhwa Park,松花公園
수내공원,Sunae Park,水内公園
수노을중앙공원,Sunoeul Central Park,スノウル中央公園
수락리버시티공원,Surak River City Park,水落リバーシティ公園
수리산성지성당,Surisan Sanctuary Cathedral,スリ山聖地聖堂
수원시청소년문화공원,Suwon Youth Culture Park,水原市青少年文化公園
수원월드컵경기장조각공원,Suwon World Cup Stadium Sculpture Park,水原ワールドカップ競技場彫刻公園
수지근린공원,Suji Neighborhood Park,水枝近隣公園
수청공원,Sucheong Park,水清公園
수촌공원,Suchon Park,水村公園
수촌근린공원,Suchon Neighborhood Park,水村近隣公園
수촌소공원,Suchon Small Park,水村小公園
숲속공원,a forest park,森の公園
숲속향기공원,Forest Fragrance Park,森の香り公園
스크랜톤채플,Scranton Channel Plus,スクラントンチャペル
승지문화공원,Seungji Culture Park,スンジ文化公園
시계탑공원,Clock Tower Park,時計台公園
시화나래조력공원,Sihwa Narae Jorye Park,始華ナレ潮力公園
식골공원,Sikgol Park,食骨公園
식사중앙공원,Siksa Central Park,食事中央公園
신곡공원,Singok Park,新谷公園
신나는어린이공원,an exciting children's park,楽しい子供公園
신남근린공원,Shinnam Neighborhood Park,シンナム近隣公園
신남성당,Shinnam Cathedral,新南聖堂
신능공원,Sinnung Park,新陵公園
신당근린공원,Sindang Neighborhood Park,新堂近隣公園
신대쌈지공원,Shindae Ssamji Park,シンデサムジ公園
신작공원,a new park,シンジャク公園
신정공원,Sinjeong Park,新亭公園
신촌마을해솔공원,Sinchon Village Haesol Park,新村村ヘソル公園
신현솔숲공원,Shin Hyun-sol Forest Park,シンヒョンソル森公園
신호등어린이공원,Traffic light children's park,信号機子供公園
신화공원,Shinhwa Park,神話公園
신흥근린공원,Shinheung Neighborhood Park,新興近隣公園
실개울공원,Silgaeul Park,シルゲウル公園
심곡본동성당,Simgokbon-dong Cathedral,深谷本洞聖堂
심곡성당,Simgok Cathedral,深谷聖堂
쌍봉산근린공원,Ssangbong Mountain Neighborhood Park,双峰山近隣公園
아름공원,Arum Park,アルム公園
아름마을공원,Arum Village Park,アルムマウル公園
아천빗물펌프장생태습지,Acheon Rain Pumping Station Ecological Wetland,峨川雨水ポンプ場生態湿地
아쿠아키즈파크,Aqua Kids Park,アクアキッズパーク
안골소공원,Angolso Park,アンゴルソ公園
안산부곡공원,Ansan Bugok Park,安山釜谷公園
안삼미공원,Ansammi Park,安三美公園
안성문화재공원,Anseong Cultural Heritage Park,安城文化財公園
안송근린공원,Ansong Neighborhood Park,安松近隣公園
안양예술공원,Anyang Art Park,安養芸術公園
안중성당,Anjung Cathedral,眼中聖堂
안흥동공설묘지공원,Anheung-dong Public Cemetery Park,安興洞公設墓地公園
알곡성전,the Battle of Algol,アルゴク聖戦
알미공원,Almi Park,アルミ公園
알미산공원,Almisan Park,アルミ山公園
암새달공원,Amsae Moon Park,雌鳥達公園
야탑공원,Yatap Park,野塔公園
약대공원,Yakdae Park,若大公園
양영공원,Yangyeong Park,楊栄公園
양주백석성당,Yangju Baekseok Cathedral,楊州白石聖堂
양지공원,Yangji Park,ヤンジ公園
양지말공원,Yangjimal Park,陽地マル公園
어등산레포츠공원,Eodeungsan Leports Park,魚登山レジャースポーツ公園
어린이교통교육장,Children's Transportation Training Center,子供交通教育場
어인남공원,Eoinnam Park,オインナム公園
언남공원,Unnam Park,彦南公園
언덕공원,a hill park,丘公園
에버그린파크,Evergreen Park,エバーグリーンパーク
엘지공원,LG Park,エルジー公園
여계근린공원,Yeogye Neighborhood Park,ヨゲ近隣公園
여수근린공원,Yeosu Neighborhood Park,麗水近隣公園
여수울공원,Yeosu Seoul Park,ヨスウル公園
여울목공원,Yeoulmok Park,ヨウルモク公園
여주성당,the main cathedral of Korea,驪州聖堂
여주저류지,a reservoir of Korea,驪州貯留地
여치공원,Yeotchi Park,ヨチ公園
역말소공원,Station Malso Park,駅末小公園
역북문화공원,Yeokbuk Cultural Park,駅北文化公園
역북소공원,Yeokbuk Small Park,駅北小公園
연암공원,Yeonam Park,燕岩公園
연양동공원,Yeonyang-dong Park,延陽洞公園
연천 고랑포구 역사공원,Yeoncheon Gorangpo-gu Historic Park,漣川古浪浦区歴史公園
열린맘공원,Open Mom Park,開かれたママ公園
열린문화공원,Open Culture Park,開かれた文化公園
열림공원,Open Park,開園公園
열쇠성당,Key Cathedral,鍵聖堂
영국군설마리전투추모공원,Battle Memorial Park for the British Army,イギリス軍まさか里戦闘追悼公園
영덕공원,Yeongdeok Park,盈徳公園
영덕레스피아,Yeongdeok Respia,盈徳レスピア
영복공원,Yeongbok Park,永福公園
영월근린공원,Yeongwol Neighborhood Park,寧越近隣公園
영장공원,Warden Park,霊場公園
영통사공원,Yeongtongsa Park,霊通寺公園
예슬공원,Yeseul Park,イェスル公園
오리공원,Duck Park,梧里公園
오리역사공원,Ori History Park,オリ歴史公園
오목문화공원,Omok Cultural Park,梧木文化公園
오목천공원,Omokcheon Park,梧木川公園
오비즈공원,Obiz Park,オービーズ公園
오산근린공원,Osan Neighborhood Park,烏山近隣公園
오야소공원,Oyaso Park,大八十公園
오음공원,Five-eum,梧蔭公園
오전로가족공원,A.M.R. Family Park,午前路家族公園
오전초교앞공원,Morning elementary school park,午前小学校前公園
옥빛공원,Okbit Park,オクビッ公園
옥정중앙공원,Okjeong Central Park,玉井中央公園
옥천레포츠공원,Okcheon Leports Park,玉川レポーツ公園
옥천문화공원,Okcheon Cultural Park,沃川文化公園
옹기동산,Onggi Garden,甕の園
옹달샘공원,Ongdalsam Park,オンダルセム公園
옹달샘인공습지,Ongdalsam Artificial Wetland,オンダル泉人工湿地
와개공원,Wagae Park,臥蓋公園
와동묘지공원,Wadong Cemetery Park,臥洞墓地公園
와우남촌공원,Wow Namchon Park,ワウナムチョン公園
와우코리요공원,Wow Coryo Park,ワウコリヨ公園
완두콩소공원,Pea Small Park,エンドウ豆小公園
왕숙천 시민공원,Wangsukcheon Civic Park,王淑川市民公園
외삼미근린공원,Oesammi Neighborhood Park,外三味近隣公園
외삼미소공원,Oesamiso Park,ウェサムミソ公園
용뫼공원,Yongmoe Park,ヨンメ公園
용성공원,Yongseong Park,龍城公園
용인중앙공원,Yongin Central Park,龍仁中央公園
용천공원,Yongcheon Park,龍川公園
용하공원,Yongha Park,ヨンハ公園
운경공원묘원,Ungyeong Park Cemetery,雲鏡公園墓園
운유공원,a transportation center,雲遊公園
운정건강공원,Unjeong Health Park,雲井健康公園
운중공원,a cloud park,雲中公園
운천성당,Uncheon Cathedral,雲泉聖堂
웃고얀근린공원,Laughing Neighborhood Park,ウッコヤン近隣公園
웃터골공원,Uttergol Park,ウットコル公園
원일공원,Wonil Park,遠日公園
원장당공원,Wonjangdang Park,園長堂公園
원정리소공원,Wonjeong Riso Park,院井里小公園
원정지구소공원,Wonjeong District Small Park,遠征地区小公園
원천동성당,Woncheon-dong Cathedral,遠川洞聖堂
원포공원,Wonpo Park,遠浦公園
원흥동 성 바오로6세 성당,St. Paul VI's Cathedral in Wonheung-dong,元興洞聖パウロ6世聖堂
월곶조각공원,Wolgot Sculpture Park,月串彫刻公園
월피공원,Wolphy Park,ウォルピ公園
위례성데레사성당,The Cathedral of Wirye Castle de Resa,慰礼聖デレッサ聖堂
윗말공원,Witmal Park,ウィッマル公園
유니온파크,Union Park,ユニオンパーク
유통단지공원,Distribution Complex Park,流通団地公園
육탄10용사기념공원,Yuktan Ten Martyrs Memorial Park,六炭十勇士記念公園
율곡습지공원,Yulgok Wetland Park,栗谷湿地公園
율동공원,Yuldong Park,栗洞公園
율리공원,Yuli Park,栗里公園
으뜸체육공원,the best sports park,トップ体育公園
은계중앙공원,Eungye Central Park,ウンゲ中央公園
은대공원,Eundae Park,ウンデ公園
은데미근린공원,Eundemi Neighborhood Park,ウンデミ近隣公園
은빛개울공원,Silver River Park,銀色の小川公園
은빛공원,Silver Park,銀色の公園
은샘공원,Eunsaem Park,ウンセム公園
은실근린공원,Eunsil Neighborhood Park,ウンシル近隣公園
은여울공원,Eunyeoul Park,ウンヨウル公園
은행근린공원,Eunhaeng Neighborhood Park,銀杏近隣公園
은행마을공원,Eunhaeng Village Park,銀杏村公園
이곡공원,Igok Park,二谷公園
이문안호수공원,Lee Munan Lake Park,イムンアン湖公園
이물재공원,Lee Sangjae Park,異物材公園
이삭길공원,Isaac Street Park,イサクギル公園
이수흥공원,Isuheung Park,イスフン公園
이천 온천공원,Icheon Hot Spring Park,利川温泉公園
이천갈산현진에버빌아파트공원,Icheon Galsan Hyunjin Everville Apartment Park,利川葛山ヒョンジンエバービルアパート公園
이천성당,Icheon Cathedral,利川聖堂
이천휴게소(하남방향)공원,Icheon Service Area (Hanam-dong) Park,利川サービスエリア(河南方向)公園
이팝나무공원,Yipopnamu Park,ヒトツバタゴ公園
인덕원공원,Indeokwon Park,仁徳院公園
인창중앙공원,Inchang Central Park,仁昌中央公園
일동공원,Ildong Park,一同公園
일번가공원,First Street Park,一番街公園
일산3도시개발구역 소공원,Ilsan 3 Urban Development Zone Small Park,一山3都市開発区域小公園
일산성당,Ilsan Cathedral,一山聖堂
일패근린공원,Ilpae Neighborhood Park,一敗近隣公園
임곡공원,Imgok Park,林谷公園
자연애공원,a nature park,自然愛公園
자은근린공원,Jaeun Neighborhood Park,慈恩近隣公園
자작나무공원,birch park,シラカバ公園
자전거공원,a bicycle park,自転車公園
자전거생태공원,Bicycle Ecological Park,自転車生態公園
자전거안전교육장,Bicycle Safety Training Center,自転車安全教育場
자혜물놀이터,Jahye Water Playground,慈恵水遊び場
작은막공원,Small Mak Park,小さな幕公園
작은새공원,Little Bird Park,小鳥公園
잔다리근린공원,Jandari Neighborhood Park,ジャンダリ近隣公園
장고개공원,Janggogae Park,チャンゴゲ公園
장당공원,Jangdang Park,チャンダン公園
장승백이공원,Jangseungbaeki Park,チャンスンベギ公園
장지동성당,Jangjidong Cathedral,長旨洞聖堂
장지이웃공원,Jangji Neighborhood Park,チャンジ隣人公園
장짐공원,Jangjim Park,チャンジム公園
장촌공원,Jangchon Park,チャンチョン公園
장터골공원,Jangteogol Park,チャントコル公園
장항공원,Janghang Park,長項公園
장항습지,Janghang Wetland,長項湿地
장호원공원,Janghowon Park,長湖院公園
장흥조각공원,Jangheung Sculpture Park,長興彫刻公園
재궁공원,Jaegung Park,斎宮公園
전곡근린공원,Jeongok Neighborhood Park,全谷近隣公園
전동약수터,an electric mineral spring,電動薬水場
전망대공원,Observatory Grand Park,展望台公園
절골말근린공원,Jeolgolmal Neighborhood Park,チョルゴルマル近隣公園
점성공원,a astrological park,占星公園
정발산공원,Jeongbalsan Park,正発山公園
정암수목공원,Jeongam Tree Park,静岩樹木公園
정평공원,Jeongpyeong Park,静平公園
조각공원,Sculpture Park,彫刻公園
조개비쉼터,Shelby Shelter,貝殻シェルター
조원동주교좌성당,Cho Won-dong Cathedral,棗園洞主教座聖堂
좌울공원,Chowool Park,左ウル公園
주곡문화공원,Jugok Culture Park,酒谷文化公園
주산도공원,Jusando Park,主山島公園
죽미공원,Jukmi Park,竹尾公園
죽산연못공원,Juksan Pond Park,竹山池公園
죽전70호근린공원(2023년6월예정),Jukjeon No. 70 Neighborhood Park (scheduled for June 2023),竹田70号近隣公園(2023年6月予定)
죽전새터공원,Jukjeon Saeteo Park,竹田セト公園
죽현마을중앙공원,Jukhyeon Village Central Park,竹峴村中央公園
중동사거리쉼터공원,Jungdong Intersection Rest Area Park,中洞交差点憩いの場公園
중보들공원,Jungbodeul Park,中ボドゥル公園
중봉근린공원,Jungbong Neighborhood Park,中峰近隣公園
중산더부골공원,Jungsan Deobugol Park,中山ダブゴル公園
중산마루공원,Jungsan Maru Park,中山丸公園
중산안골공원,Jungsan Angol Park,中山アンゴル公園
중산안학공원,Zhongshan Anhak Park,中山安鶴公園
중산태미공원,Zhongshan Taemi Park,中山泰美公園
중앙광장,the central square,中央広場
중앙근린공원,Central Neighborhood Park,中央近隣公園
중앙문화공원,Central Cultural Park,中央文化公園
지도공원,Map Park,地図公園
지산이주단지공원,Jisan Jujube Complex Park,ジサン移住団地公園
지성공원,Jisung Park,至誠公園
직동근린공원,Jikdong Neighborhood Park,直東近隣公園
진고개공원,Jingogae Park,ジンゴゲ公園
